,fold0,fold1,fold2,fold3,fold4,fold5,mean_gain
goldstein_delta_4_52,533.3840827941895,1214.0132831335068,739.4364175796509,652.6872997283936,713.988302230835,1242.0172176361084,849.2544338504473
r18_w13,362.4521999359131,900.9930548667908,649.4781613349915,581.7410860061646,943.6796789169312,1270.6989588737488,784.8405233224233
rate_w4,192.97420024871826,569.529088139534,909.804208278656,644.6709642410278,1209.8704051971436,1144.7921600341797,778.6068376898766
goldstein_wmean_w4,410.4486594200134,1266.8608459234238,676.6697311401367,341.73334407806396,850.4613676071167,1093.4235305786133,773.2662464578947
q1_share_w4,285.8097596168518,1458.3775215148926,818.7308163642883,438.82690048217773,671.3087630271912,963.710503578186,772.7940440972646
tone_wsum_w13,574.9474039077759,1457.295095205307,517.7988781929016,318.92159938812256,658.550491809845,1073.491946220398,766.8342357873917
r12_w13,303.6632695198059,1124.1873650550842,597.172155380249,635.9003982543945,1112.738383769989,817.5682640075684,765.2049726645151
r14_share_w4,505.13057804107666,639.3130139112473,689.8834009170532,726.0415968894958,961.9714169502258,994.8379597663879,752.8629944125811
q4_m_w13,691.7739653587341,1065.6849175691605,620.2926959991455,327.53342628479004,832.6271390914917,970.9256906509399,751.4729724923769
rate_w1,29.23537015914917,217.3141210079193,282.94955253601074,397.8999786376953,1140.8946776390076,2128.286343574524,699.430007259051
q4_ab_w13,174.06635999679565,726.6386897563934,636.4582109451294,725.4351263046265,716.3176312446594,925.567638874054,650.747276186943
r10_share_w4,144.9602189064026,629.4058516025543,608.7478704452515,524.7771005630493,721.3384594917297,1102.253116607666,621.9137696027756
r10_w13,245.3350706100464,827.2663661241531,581.6937522888184,484.8910093307495,692.1642999649048,755.4207301139832,597.7952047387759
goldstein_mean_w4,303.18569564819336,914.2235281467438,539.7726984024048,440.1158027648926,556.8799300193787,647.5541858673096,566.9553068081538
r17_share_w4,292.8716812133789,788.5113582611084,533.2210803031921,397.698543548584,461.0547194480896,903.4907116889954,562.8080157438914
r16_share_w4,203.00604057312012,718.0042518377304,533.1806311607361,356.9337868690491,542.7222185134888,922.569902420044,546.0694718956947
r12_share_w4,180.0733413696289,698.3279186487198,389.16561126708984,476.25930309295654,614.8842101097107,884.0826501846313,540.4655057787895
q1_w13,418.20508766174316,972.543270111084,519.8167834281921,226.73280143737793,438.130916595459,547.2686719894409,520.4495885372162
n_root_w13,182.40511989593506,937.0194401741028,458.5253200531006,233.67009735107422,480.85108041763306,713.8810620307922,501.058686653773
conflict_share_w4,183.5930790901184,832.5013567209244,614.1260862350464,366.4695043563843,391.19173192977905,543.1456570625305,488.50456923246384
tone_sum_w13,294.63244819641113,769.3711812496185,275.03741693496704,193.92040061950684,692.6649236679077,688.5785856246948,485.700826048851
q4_ba_w13,130.96654176712036,648.4348759651184,394.0363292694092,338.9037961959839,587.5888614654541,636.8029141426086,456.1222198009491
q4_asym_w4,82.4332799911499,1064.4732711315155,411.37020444869995,144.4977102279663,369.5873279571533,644.024721622467,452.731085896492
