,fold0,fold1,fold2,fold3,fold4,fold5,mean_gain
r11_share_w4,907.8112225532532,772.1941976547241,1006.4825019836426,1530.177996635437,406.512300491333,1825.2360010147095,1074.73570338885
n_events_w4,217.18080139160156,393.08449935913086,741.8563890457153,551.242603302002,1091.6778144836426,3449.4923000335693,1074.0890679359436
r17_w13,1348.3179121017456,715.0475006103516,1128.6869049072266,1137.8988971710205,24.1387996673584,1400.6586961746216,959.1247851053873
tone_sum_w13,398.55087184906006,413.72919750213623,646.786301612854,464.93159675598145,158.7310028076172,3445.9131031036377,921.4403456052145
q4_share_w13,705.9151315689087,927.301197052002,1197.5126953125,865.7049016952515,139.92359924316406,1333.712194442749,861.6782865524292
r17_share_w4,559.6209325790405,465.96739959716797,1223.9574975967407,718.6790962219238,438.56419563293457,1707.942892074585,852.4553356170654
goldstein_delta_4_52,806.708324432373,717.0146036148071,931.5703449249268,823.3803014755249,473.1561050415039,1273.8649044036865,837.6157639821371
r11_w1,272.1122045516968,704.5540018081665,479.0450038909912,1556.5128231048584,1159.738904953003,658.0065059661865,804.9949073791504
r15_share_w4,278.4786024093628,138.557599067688,364.2206029891968,839.9022960662842,1154.5916919708252,1920.5042991638184,782.7091819445292
r17_w4,192.27302312850952,189.68989849090576,535.1203680038452,931.6480903625488,1047.8933906555176,1797.5313844680786,782.3593591849009
r15_w13,317.7702102661133,156.63629913330078,591.2445039749146,937.8881034851074,707.8084964752197,1963.6285991668701,779.1627020835876
n_root_w13,658.8825531005859,588.9517030715942,853.4068813323975,550.7160987854004,143.7504005432129,1853.235592842102,774.8238716125488
q4_ab_w13,1347.3140277862549,791.0448026657104,575.3573989868164,563.321798324585,75.17820167541504,1149.8739080429077,750.3483562469482
r19_w13,778.1037926673889,562.3144969940186,1114.946801185608,652.7703018188477,82.39659881591797,1297.6091051101685,748.0235160986582
r19_share_w4,677.1664505004883,800.2880916595459,1029.5962028503418,880.9511976242065,28.56049919128418,945.8299007415771,727.0653904279073
r16_share_w4,719.8702421188354,471.9660005569458,689.1845016479492,747.4838018417358,28.034299850463867,1487.4797983169556,690.669774055481
q4_share_w1,97.65830135345459,739.8620929718018,1029.7876091003418,1150.8079814910889,1019.7914962768555,73.33609962463379,685.207263469696
